timestamp,tz,checkpoint,version,raw26,site_code,user_code,nombre,autorizado,casco,score,img_path
18-08-2025T20:21:18,Europe/Madrid,SALA_MAQUINAS_A,7,23936659,182,40777,Lucia,1,1,0.00,/media/18082025T202118_23936659.jpg
18-08-2025T20:21:26,Europe/Madrid,SALA_MAQUINAS_A,7,23936659,182,40777,Lucia,1,0,0.98,/media/18082025T202126_23936659.jpg
18-08-2025T20:21:39,Europe/Madrid,SALA_MAQUINAS_A,7,23936659,182,40777,Lucia,1,0,0.67,/media/18082025T202139_23936659.jpg
25-08-2025T22:22:06,Europe/Madrid,SALA_MAQUINAS_A,7,39175078,42,57811,Operario_B,1,0,1.00,/media/25082025T222206_39175078.jpg
25-08-2025T22:22:13,Europe/Madrid,SALA_MAQUINAS_A,7,39175078,42,57811,Operario_B,1,0,1.00,/media/25082025T222213_39175078.jpg
25-08-2025T22:23:05,Europe/Madrid,SALA_MAQUINAS_A,7,39175078,42,57811,Operario_B,1,0,0.58,/media/25082025T222305_39175078.jpg
25-08-2025T22:24:19,Europe/Madrid,SALA_MAQUINAS_A,7,52992745,148,19828,,0,0,0.00,
25-08-2025T22:28:27,Europe/Madrid,SALA_MAQUINAS_A,7,52992745,148,19828,,0,0,0.00,
25-08-2025T22:28:39,Europe/Madrid,SALA_MAQUINAS_A,7,23936659,182,40777,Lucia,1,1,0.00,/media/25082025T222839_23936659.jpg
25-08-2025T22:35:50,Europe/Madrid,SALA_MAQUINAS_A,7,52992745,148,19828,Juan,1,0,0.59,/media/25082025T223550_52992745.jpg
25-08-2025T22:36:43,Europe/Madrid,SALA_MAQUINAS_A,7,23936659,182,40777,,0,0,0.00,
